Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
29,5,44,1,0.2,Professional,0,no,no,yes,no,no
41,17,139,2,8,Undergrad,0,no,no,yes,no,no
55,30,29,3,0.1,Graduate,0,yes,yes,yes,no,no
56,31,131,2,1.2,Professional,0,no,no,no,no,yes
28,2,93,2,0.2,Undergrad,0,no,no,no,no,no
31,5,188,2,4.5,Undergrad,455,no,no,no,no,no
49,24,39,3,1.7,Graduate,0,yes,no,yes,no,no
47,21,125,1,5.7,Undergrad,112,yes,no,no,no,no
42,18,22,1,1,Undergrad,0,no,no,no,no,no
42,17,32,4,0,Graduate,0,no,no,yes,no,no
47,23,105,2,3.3,Undergrad,0,no,no,no,no,no
59,35,131,1,3.8,Undergrad,0,no,no,yes,yes,no
62,36,105,2,2.8,Undergrad,336,no,no,no,no,no
53,23,45,4,2,Professional,132,yes,no,no,no,no
47,21,60,3,2.1,Undergrad,0,no,no,yes,yes,no
53,29,20,4,0.2,Undergrad,0,no,no,yes,no,no
42,18,115,1,3.5,Undergrad,0,no,no,no,yes,no
53,29,69,4,1,Graduate,0,no,no,yes,no,no
44,20,130,1,5,Undergrad,0,no,no,no,yes,no
41,16,85,1,4,Professional,0,no,no,yes,yes,no
28,3,135,2,3.3,Undergrad,0,no,no,no,yes,no
31,7,135,4,3.8,Graduate,0,no,yes,yes,yes,yes
58,32,12,3,0.3,Professional,0,no,no,no,no,no
46,20,29,3,0.5,Graduate,0,no,no,no,no,no
54,30,133,2,2.6,Professional,0,no,no,no,no,yes
50,26,19,2,0.4,Undergrad,118,no,no,yes,no,no
60,36,41,4,1.3,Undergrad,174,no,no,yes,yes,no
47,22,40,3,2.7,Graduate,0,no,no,yes,no,no
41,16,82,1,4,Professional,0,no,no,yes,no,no
33,9,50,1,2.4,Graduate,0,no,no,no,no,no
46,22,18,1,0.9,Professional,0,no,no,yes,no,no
27,2,109,4,1.8,Professional,0,no,no,no,no,no
40,16,42,4,2.2,Graduate,126,no,no,no,no,no
48,22,78,3,1.1,Undergrad,0,no,no,yes,no,no
65,41,51,2,1.1,Undergrad,0,no,no,yes,no,no
25,-1,113,4,2.3,Professional,0,no,no,no,yes,no
55,30,118,4,5.6,Graduate,0,no,no,yes,no,yes
35,10,29,4,1.1,Professional,0,no,no,yes,no,no
43,19,34,3,0.6,Graduate,0,no,no,no,no,no
60,34,64,2,1.7,Professional,236,yes,no,yes,no,no
65,39,121,1,2,Undergrad,0,no,no,no,no,no
38,12,48,4,0.2,Professional,0,no,no,yes,no,no
41,15,80,1,5.2,Undergrad,0,no,no,no,no,no
54,28,161,1,2.9,Undergrad,0,no,no,yes,no,no
49,23,94,1,0.3,Undergrad,0,no,no,yes,no,no
66,41,15,3,0.1,Professional,0,no,no,yes,no,no
48,23,74,1,1.2,Undergrad,0,no,no,yes,no,no
61,36,30,3,1.3,Graduate,0,no,no,no,no,no
53,23,44,3,1,Professional,198,no,no,yes,yes,no
43,18,22,2,0.3,Graduate,0,no,no,yes,no,no
56,32,38,4,1.3,Undergrad,166,no,no,yes,yes,no
24,0,35,3,0.1,Graduate,0,yes,no,yes,no,no
43,17,69,4,2.9,Undergrad,0,no,no,yes,yes,no
42,18,43,1,0.7,Undergrad,136,no,no,no,no,no
33,7,32,1,0.6,Professional,166,no,no,yes,no,no
43,17,49,1,2.8,Undergrad,0,no,no,yes,no,no
41,14,9,3,1,Graduate,0,no,no,no,no,no
62,38,45,4,1.3,Graduate,0,no,no,yes,no,no
40,15,82,3,1,Undergrad,309,no,no,no,no,no
58,34,92,2,2.8,Undergrad,103,no,no,no,no,no
39,14,39,3,0.5,Professional,0,no,no,yes,no,no
65,40,81,3,1.8,Graduate,0,no,no,yes,no,no
54,29,35,1,1.5,Graduate,0,no,no,yes,no,no
58,33,61,2,2.3,Professional,193,no,no,yes,no,no
41,16,73,3,3,Undergrad,0,no,no,yes,no,no
32,7,112,1,4.6,Undergrad,366,no,no,no,no,no
54,29,12,2,0.2,Professional,0,no,no,yes,no,no
52,26,38,3,0.9,Professional,0,no,no,yes,no,no
58,32,73,2,0.7,Graduate,0,no,no,yes,yes,no
37,13,84,1,3.6,Graduate,0,yes,no,no,no,no
39,15,78,4,2.4,Undergrad,118,no,no,yes,no,no
60,35,80,3,0.5,Undergrad,0,no,no,yes,no,no
31,5,115,2,1.3,Undergrad,101,no,no,yes,yes,no
34,8,82,1,2.7,Graduate,251,no,no,yes,no,no
38,14,74,2,0,Undergrad,0,yes,no,yes,no,no
41,16,70,3,0.5,Professional,0,no,no,no,yes,no
28,4,81,3,1.5,Undergrad,276,no,no,yes,no,no
58,34,149,4,7.2,Graduate,0,no,yes,yes,yes,yes
31,1,51,2,1.75,Professional,0,no,no,no,no,no
30,4,39,3,1.1,Graduate,0,no,no,yes,no,no
53,29,98,3,1.8,Graduate,0,no,no,no,no,no
58,33,45,4,2.1,Undergrad,0,no,no,yes,yes,no
59,32,49,4,2.5,Graduate,0,no,no,yes,no,no
49,25,128,2,0.4,Undergrad,0,no,no,no,no,no
59,34,42,3,1.5,Undergrad,0,yes,yes,no,yes,no
59,35,18,1,1.2,Professional,0,no,no,yes,no,no
51,25,31,2,0.4,Professional,161,no,no,yes,yes,no
35,11,58,3,2,Undergrad,149,no,no,yes,yes,no
33,9,48,1,2.1,Professional,0,no,no,no,yes,no
25,1,54,4,1.6,Undergrad,0,no,no,yes,yes,no
49,23,70,2,1.5,Graduate,0,no,no,no,no,no
59,35,124,1,7.4,Undergrad,0,no,no,no,yes,no
46,19,84,1,2.67,Graduate,0,no,no,yes,yes,no
50,25,83,4,3.6,Professional,188,no,no,yes,no,no
52,28,163,2,0.4,Undergrad,116,no,no,yes,no,no
48,22,42,3,2.2,Graduate,0,no,no,no,no,no
46,22,118,2,7.5,Undergrad,0,no,yes,yes,yes,no
26,0,132,3,6.5,Professional,0,no,no,no,yes,yes
57,32,24,1,1.3,Undergrad,0,no,no,yes,yes,no
60,36,22,2,1,Undergrad,0,yes,yes,yes,yes,no
54,29,58,4,1.3,Professional,0,no,no,no,no,no
24,0,60,4,1.6,Undergrad,0,no,no,yes,no,no
26,0,15,4,0.4,Undergrad,0,no,no,no,yes,no
41,17,83,4,2.67,Undergrad,0,no,no,yes,yes,no
32,6,79,2,1.5,Professional,0,no,no,yes,yes,no
61,35,41,4,1.7,Graduate,0,yes,no,yes,no,no
29,0,134,4,6.5,Professional,0,no,no,no,no,yes
61,35,80,2,2.8,Undergrad,0,no,no,yes,no,no
38,12,52,1,2,Undergrad,0,no,no,no,no,no
28,4,70,4,2.6,Undergrad,0,no,no,yes,no,no
53,27,92,2,1.1,Undergrad,0,yes,no,no,no,no
27,1,43,1,1.5,Undergrad,0,no,no,yes,no,no
25,1,21,3,1,Graduate,0,no,no,no,no,no
33,9,23,3,0.9,Professional,0,no,no,yes,yes,no
50,26,13,4,1,Undergrad,0,no,no,yes,no,no
27,1,112,4,2.1,Professional,0,no,no,no,yes,no
27,1,138,2,2,Undergrad,0,no,no,yes,no,no
52,28,11,3,0.4,Undergrad,0,yes,no,no,no,no
38,13,171,2,7.8,Undergrad,0,no,no,yes,no,no
58,34,42,4,1.5,Undergrad,0,no,no,yes,yes,no
42,17,168,2,7.9,Graduate,0,no,no,yes,no,yes
45,20,85,4,1.1,Graduate,0,yes,no,yes,no,no
52,25,44,3,1,Graduate,135,no,no,yes,no,no
29,3,65,4,1.8,Graduate,244,no,no,no,no,no
53,29,24,4,0.2,Undergrad,0,no,no,yes,yes,no
62,37,11,1,0.1,Undergrad,0,no,no,yes,no,no
51,27,38,2,1,Professional,164,no,no,yes,no,no
36,12,10,4,0.7,Graduate,81,no,no,no,no,no
24,0,135,1,1.5,Undergrad,0,no,no,yes,no,no
29,3,148,3,4.1,Undergrad,0,no,no,yes,no,yes
52,26,63,2,1.5,Graduate,0,yes,no,yes,no,no
39,14,115,1,1,Professional,0,no,no,yes,no,no
48,23,45,1,0.3,Undergrad,0,no,no,yes,yes,no
46,21,159,3,1.9,Professional,315,no,no,yes,no,yes
64,40,169,2,2.1,Undergrad,122,no,no,yes,no,no
55,29,112,2,1.4,Undergrad,0,no,no,yes,no,no
60,36,93,1,4.3,Undergrad,0,no,no,yes,no,no
51,25,29,1,0.3,Professional,140,no,no,no,no,no
50,23,85,1,2.67,Graduate,0,no,no,yes,no,no
48,24,21,4,0.6,Undergrad,0,no,no,yes,yes,no
53,29,144,2,6.8,Undergrad,0,no,no,yes,no,no
34,10,13,4,1,Undergrad,95,yes,no,yes,no,no
48,24,165,1,5,Undergrad,0,no,no,no,yes,no
55,31,9,4,0.7,Undergrad,89,no,no,yes,no,no
27,3,59,4,0,Undergrad,90,yes,no,yes,no,no
36,11,158,1,5.1,Professional,0,no,yes,yes,yes,yes
32,6,29,1,1.9,Professional,0,no,no,yes,yes,no
35,9,20,2,1.4,Professional,0,no,no,yes,yes,no
30,3,68,4,2,Graduate,0,no,no,yes,no,no
58,34,65,4,2.2,Undergrad,0,no,no,yes,no,no
56,31,61,2,1.9,Graduate,105,no,no,no,no,no
38,12,91,4,1.4,Graduate,100,no,no,no,yes,no
49,25,31,1,1,Undergrad,0,yes,no,yes,no,no
34,10,71,4,0.1,Graduate,0,no,no,no,no,no
40,16,73,4,2.67,Undergrad,0,no,no,yes,yes,no
64,39,172,4,3.1,Undergrad,282,no,yes,yes,yes,yes
51,26,20,2,0,Undergrad,0,no,no,no,no,no
44,18,55,1,0.2,Undergrad,0,no,no,no,no,no
46,22,69,2,1.7,Undergrad,209,no,no,no,no,no
57,33,155,1,7.4,Undergrad,0,no,no,yes,no,no
54,28,94,1,1.9,Graduate,0,no,no,no,no,no
38,14,92,2,0,Undergrad,249,no,no,yes,yes,no
27,3,125,2,0.6,Undergrad,0,no,no,no,no,no
39,14,74,3,3,Undergrad,0,no,no,no,no,no
44,20,72,3,0.3,Professional,0,no,no,yes,no,no
56,30,61,1,2.2,Professional,0,no,no,yes,yes,no
32,6,25,2,0.3,Undergrad,0,no,no,no,yes,no
45,19,83,2,1.7,Graduate,0,no,no,yes,no,no
26,2,104,3,2.5,Undergrad,0,no,no,no,no,no
55,25,41,3,1,Professional,0,no,no,yes,no,no
52,27,58,4,1.8,Professional,91,no,no,no,no,no
39,13,93,1,1.5,Professional,0,no,no,no,yes,no
24,-1,39,2,1.7,Graduate,0,no,no,no,no,no
47,23,148,2,7.5,Undergrad,0,no,yes,yes,yes,no
47,22,53,4,1.9,Professional,98,yes,yes,no,yes,no
48,24,71,2,1.7,Undergrad,145,no,no,no,yes,no
47,22,92,1,2.8,Graduate,0,no,no,yes,no,no
35,10,61,4,2.1,Professional,0,no,no,yes,no,no
46,19,38,3,2.5,Graduate,135,no,no,no,no,no
62,37,58,4,1.7,Undergrad,0,no,no,yes,no,no
26,1,80,1,0.8,Graduate,150,no,no,no,no,no
38,8,71,4,1.8,Professional,0,no,no,yes,no,no
43,18,89,3,0.5,Professional,0,no,no,yes,yes,no
62,38,83,1,1.8,Professional,0,no,no,yes,no,no
57,32,28,3,0.2,Undergrad,0,no,no,yes,yes,no
28,3,52,4,1.7,Graduate,0,no,no,no,no,no
51,26,70,1,1.2,Undergrad,169,no,no,no,no,no
48,22,71,1,1.4,Professional,0,no,no,no,yes,no
41,16,75,1,3.7,Professional,280,no,no,no,no,no
65,39,170,3,7.9,Professional,99,no,yes,yes,no,yes
41,17,78,4,0.8,Undergrad,78,no,no,yes,no,no
35,11,25,2,1,Graduate,0,no,no,no,no,no
38,14,60,2,0.6,Professional,0,no,no,yes,yes,no
53,29,120,4,2.7,Graduate,111,yes,yes,yes,no,yes
55,29,99,2,1.4,Undergrad,264,no,no,yes,yes,no
26,1,55,3,2.6,Professional,113,no,no,no,yes,no
30,6,29,3,1,Graduate,117,no,no,no,no,no
54,28,170,2,6.2,Graduate,325,no,no,yes,no,yes
65,40,53,3,2.2,Undergrad,0,no,no,no,yes,no
47,21,138,1,0,Undergrad,0,no,no,no,no,no
65,41,134,3,3.9,Professional,121,no,no,yes,no,yes
66,40,42,2,0.7,Professional,138,no,no,no,yes,no
26,0,99,4,2.3,Professional,0,no,no,no,yes,no
66,41,18,3,0.5,Undergrad,0,no,no,no,yes,no
35,9,24,4,0.3,Undergrad,0,no,no,yes,no,no
56,30,55,1,1.4,Undergrad,77,no,no,yes,no,no
51,27,58,1,0,Undergrad,0,no,no,no,yes,no
42,16,111,2,1.2,Professional,251,no,no,yes,no,yes
49,23,33,1,0.3,Professional,0,no,yes,yes,yes,no
27,1,74,4,1.8,Graduate,112,no,no,yes,yes,no
45,19,38,2,0.7,Undergrad,0,no,no,no,no,no
49,23,23,4,0.6,Professional,98,yes,no,no,no,no
63,38,61,2,1.5,Undergrad,0,no,no,yes,no,no
47,22,81,1,2.9,Undergrad,138,no,no,no,no,no
64,39,129,1,2.5,Undergrad,0,no,no,yes,no,no
43,13,33,1,0.75,Professional,0,no,no,no,no,no
60,36,63,4,2.2,Undergrad,0,no,no,yes,no,no
40,14,70,4,1.4,Graduate,0,no,no,yes,no,no
29,3,45,4,0.2,Undergrad,158,no,no,yes,yes,no
41,16,65,3,0.5,Professional,0,no,no,yes,no,no
30,5,74,4,2.2,Undergrad,0,yes,no,no,yes,no
49,24,50,4,1.8,Professional,0,yes,no,no,no,no
30,5,22,4,0.5,Professional,109,no,no,yes,no,no
29,2,30,4,1,Professional,0,no,no,no,no,no
50,26,21,4,1,Undergrad,0,no,no,yes,no,no
39,14,155,2,3.9,Undergrad,0,no,no,yes,no,no
33,8,64,4,2.1,Professional,164,no,no,yes,no,no
57,31,65,4,2.6,Professional,0,no,no,no,yes,no
34,9,71,4,0.7,Professional,0,no,no,yes,no,no
61,36,40,3,0.5,Graduate,0,yes,no,yes,no,no
44,19,69,3,0.5,Professional,0,no,no,yes,no,no
40,13,69,3,2.33,Graduate,0,no,no,no,no,no
51,25,45,3,0.6,Graduate,131,no,no,yes,no,no
37,12,62,3,0.7,Graduate,0,no,no,no,yes,no
44,19,172,2,4.3,Professional,391,yes,yes,yes,no,yes
42,15,24,3,1,Graduate,0,no,no,yes,yes,no
51,25,80,1,4.9,Undergrad,0,no,no,no,no,no
43,16,8,3,0.67,Graduate,88,no,no,yes,no,no
30,5,38,4,0.8,Undergrad,129,no,no,yes,yes,no
45,19,93,4,2.6,Professional,0,no,no,no,no,no
35,9,55,1,2,Undergrad,0,no,no,yes,no,no
60,34,64,2,1.7,Professional,0,no,no,no,yes,no
34,9,122,1,0,Undergrad,0,no,no,yes,no,no
55,25,70,3,1.4,Professional,0,no,no,yes,no,no
43,19,81,2,3.2,Undergrad,0,no,no,no,no,no
41,15,159,1,5.5,Professional,0,no,yes,yes,no,yes
34,9,70,4,1.3,Undergrad,0,yes,no,no,no,no
65,39,150,2,6.9,Undergrad,196,no,no,no,no,no
45,21,152,2,7.5,Undergrad,0,no,no,yes,no,no
49,25,195,4,3,Undergrad,617,no,no,no,no,yes
48,23,22,1,0.1,Undergrad,0,no,no,no,no,no
60,35,22,1,1.3,Undergrad,123,no,no,yes,no,no
55,29,79,3,0.8,Undergrad,0,no,no,yes,yes,no
42,18,33,1,1.4,Professional,0,no,no,yes,no,no
32,8,128,2,4.33,Undergrad,0,no,yes,yes,yes,no
62,38,91,1,3.8,Undergrad,0,yes,no,yes,no,no
57,32,39,4,0.9,Undergrad,0,no,no,yes,yes,no
52,26,121,1,7.3,Undergrad,167,no,no,yes,no,no
36,6,21,1,0.67,Professional,0,yes,no,yes,no,no
34,9,41,3,2.3,Undergrad,0,no,no,no,yes,no
63,37,45,2,0.7,Professional,0,no,no,yes,no,no
24,-2,51,3,0.3,Professional,0,no,no,yes,no,no
57,31,165,1,1.6,Graduate,0,no,no,yes,no,yes
40,16,119,2,4.2,Graduate,0,no,no,yes,no,yes
27,2,110,4,1.8,Professional,190,no,no,yes,no,no
65,39,20,3,0.7,Graduate,0,no,no,no,yes,no
60,34,64,1,0.8,Graduate,248,no,no,no,no,no
44,20,101,3,4.4,Graduate,82,no,no,no,no,yes
63,39,101,1,3.9,Undergrad,0,yes,yes,yes,no,yes
59,34,99,1,4.4,Undergrad,0,no,no,no,no,yes
56,30,158,4,6.1,Undergrad,0,no,no,no,no,yes
54,28,89,1,1.9,Graduate,0,no,no,yes,yes,no
52,27,80,1,1.3,Professional,0,no,yes,yes,yes,no
58,32,114,2,2,Undergrad,402,no,no,yes,no,no
60,35,49,3,0.5,Graduate,0,no,no,yes,yes,no
28,4,191,1,6.33,Undergrad,0,no,no,yes,no,no
54,30,78,4,1,Graduate,0,no,no,yes,no,no
32,6,28,3,1,Undergrad,0,no,no,no,no,no
59,33,42,1,0.8,Graduate,0,no,no,yes,no,no
63,38,140,1,2.5,Undergrad,0,no,no,no,no,no
48,23,45,1,1.3,Graduate,0,no,no,yes,no,no
56,32,122,2,0.3,Undergrad,360,no,yes,yes,yes,no
36,12,65,3,2.6,Graduate,0,no,no,yes,no,no
57,27,68,1,1.4,Professional,0,no,no,yes,no,no
29,3,153,2,2,Undergrad,392,no,no,no,no,no
39,13,89,4,1.4,Graduate,0,no,no,no,no,no
59,34,91,1,2.6,Undergrad,0,no,no,yes,yes,no
31,6,55,4,2,Graduate,185,no,no,yes,no,no
43,19,118,2,3.3,Undergrad,0,no,no,no,yes,no
35,5,22,1,0.67,Professional,103,no,no,no,no,no
54,24,63,3,1.4,Professional,138,no,no,yes,yes,no
51,27,12,4,0.5,Graduate,78,yes,no,yes,no,no
44,19,50,3,2.7,Graduate,0,no,no,yes,no,no
25,0,43,2,1.6,Professional,0,yes,yes,yes,yes,no
40,15,173,4,6.6,Undergrad,0,no,yes,yes,yes,yes
26,2,60,2,3,Undergrad,132,no,no,no,no,yes
39,14,113,1,1,Professional,0,yes,no,yes,no,no
28,4,155,4,5.3,Graduate,0,no,no,yes,no,yes
52,28,91,4,1,Graduate,0,no,no,no,yes,no
53,29,55,4,1.1,Graduate,0,no,no,yes,no,no
44,20,173,2,1.4,Undergrad,419,no,no,yes,no,no
43,19,71,3,0.3,Professional,0,no,no,no,yes,no
56,30,24,2,0.4,Professional,88,no,no,no,no,no
38,14,42,1,2,Graduate,81,no,no,yes,no,no
30,6,141,2,4.33,Undergrad,0,no,no,yes,no,no
32,6,32,1,1.9,Professional,0,no,no,yes,no,no
35,10,55,4,1.3,Undergrad,0,no,no,no,no,no
43,19,153,2,7.5,Undergrad,0,no,no,yes,no,no
58,32,113,2,1.4,Undergrad,270,no,no,no,yes,no
25,0,30,2,1.7,Graduate,0,no,no,no,no,no
54,24,29,3,1,Professional,148,no,no,no,yes,no
57,32,174,1,6.8,Graduate,466,no,no,yes,no,yes
50,24,35,1,0.3,Professional,0,no,no,yes,no,no
32,8,98,2,2,Graduate,175,no,no,yes,no,no
63,37,30,2,1,Professional,159,no,no,yes,no,no
31,6,58,2,2.5,Undergrad,0,no,no,no,yes,no
36,12,25,4,1,Undergrad,147,no,no,no,no,no
58,34,19,4,0.7,Undergrad,0,no,no,no,no,no
56,30,44,4,0.7,Graduate,174,no,no,yes,no,no
49,25,20,4,1,Undergrad,111,no,no,yes,yes,no
30,5,98,2,3.1,Undergrad,220,no,no,yes,no,no
33,7,90,3,1.6,Undergrad,0,no,no,yes,no,no
45,21,61,3,0.7,Undergrad,0,no,no,no,no,no
30,5,40,4,2,Graduate,0,no,no,yes,no,no
47,23,38,2,2.1,Professional,0,no,no,no,no,no
25,0,28,2,1.7,Graduate,0,no,no,no,no,no
63,33,34,1,1.5,Professional,0,no,no,yes,yes,no
55,29,73,2,2.3,Professional,0,no,no,yes,yes,no
65,41,133,4,2,Undergrad,0,no,no,no,yes,yes
44,18,53,1,0.2,Undergrad,0,no,no,yes,no,no
51,25,21,4,0.6,Professional,0,no,no,yes,yes,no
35,9,40,3,0.9,Undergrad,0,no,no,yes,no,no
30,5,41,4,1.7,Graduate,0,no,no,yes,no,no
31,5,82,4,1.8,Graduate,0,no,no,yes,no,no
54,30,100,4,3.4,Professional,0,no,no,no,no,yes
45,20,155,1,7,Undergrad,0,no,no,yes,yes,no
45,19,45,1,0.2,Undergrad,0,no,no,yes,no,no
58,32,9,3,0.3,Professional,0,no,no,no,yes,no
54,29,48,4,1.8,Professional,0,no,no,yes,no,no
53,28,18,4,0.1,Professional,109,yes,yes,yes,yes,no
33,9,80,4,3.4,Undergrad,0,no,no,yes,yes,no
60,35,64,2,2.8,Undergrad,0,no,no,no,no,no
50,24,29,4,0.1,Undergrad,0,no,no,no,no,no
26,2,48,3,0.7,Graduate,0,no,no,yes,no,no
54,30,23,2,0.4,Undergrad,0,no,no,no,no,no
28,3,84,4,0.2,Undergrad,0,no,no,yes,yes,no
36,10,179,3,6.6,Undergrad,0,no,no,yes,no,yes
29,2,30,4,1.5,Graduate,112,no,no,no,yes,no
54,28,93,1,4.9,Undergrad,133,no,yes,yes,yes,no
55,30,39,2,1.9,Graduate,0,no,no,no,no,no
61,36,60,3,0.5,Graduate,182,no,no,no,no,no
36,11,133,1,3.8,Undergrad,290,yes,yes,yes,yes,no
45,19,125,1,2.4,Undergrad,0,no,no,no,no,no
64,40,58,1,1.8,Professional,0,no,no,yes,no,no
60,36,89,2,2.8,Undergrad,0,no,no,yes,no,no
49,22,82,1,2.67,Graduate,125,no,no,yes,no,no
47,23,110,2,3.3,Undergrad,0,no,no,yes,yes,no
60,36,54,4,2.3,Professional,0,yes,no,no,no,no
45,20,89,4,1.9,Professional,0,no,no,yes,no,no
32,7,42,3,2.3,Undergrad,0,no,no,yes,no,no
52,28,41,3,1.9,Graduate,0,no,no,no,yes,no
35,8,38,4,1,Graduate,124,no,no,yes,no,no
40,15,85,2,0.4,Undergrad,0,no,no,yes,no,no
53,29,83,4,1,Graduate,0,no,no,yes,no,no
27,0,33,4,1,Professional,0,no,no,no,no,no
58,33,50,4,2.1,Undergrad,0,no,no,no,yes,no
47,22,58,4,3.6,Professional,0,no,no,yes,yes,no
28,3,115,4,3.1,Graduate,0,no,no,no,no,yes
46,20,145,2,6.3,Undergrad,0,yes,yes,yes,no,no
43,19,161,2,7.5,Undergrad,0,no,no,no,no,no
56,30,38,1,0.2,Undergrad,0,no,no,no,no,no
28,3,28,4,0.8,Undergrad,0,no,no,yes,no,no
42,18,75,3,2.33,Undergrad,0,no,no,no,yes,no
32,7,35,3,1.3,Undergrad,116,no,no,no,yes,no
62,38,24,2,1,Undergrad,116,no,no,no,yes,no
37,13,78,4,0.1,Graduate,0,no,no,yes,no,no
51,26,113,1,1.3,Professional,161,no,no,yes,no,no
39,13,75,3,2.1,Undergrad,224,no,no,yes,no,no
43,17,91,1,5.7,Undergrad,0,no,no,yes,no,no
52,28,31,4,0.2,Undergrad,141,no,no,yes,yes,no
30,6,45,1,1.8,Graduate,0,no,no,yes,no,no
52,26,80,3,0.8,Undergrad,0,no,no,no,no,no
61,35,50,3,1.4,Professional,112,no,no,yes,no,no
36,9,31,4,1,Graduate,0,yes,no,yes,no,no
58,32,113,2,3.8,Graduate,119,no,yes,yes,yes,yes
47,23,29,4,0.6,Undergrad,0,no,no,yes,no,no
64,39,59,2,1.5,Undergrad,139,no,no,yes,no,no
52,27,43,1,1.3,Graduate,0,yes,no,yes,no,no
58,28,122,1,3,Professional,115,no,no,yes,no,yes
48,24,29,1,1,Undergrad,0,no,no,no,no,no
64,40,91,2,0,Professional,0,no,no,yes,yes,no
58,32,65,3,2.2,Professional,0,no,no,yes,no,no
47,23,22,1,1,Undergrad,0,no,no,no,yes,no
49,23,71,1,1.4,Professional,0,no,no,no,no,no
31,4,60,4,2,Graduate,0,no,no,yes,yes,no
61,37,60,3,2,Professional,0,no,no,yes,no,no
51,25,69,1,0.3,Undergrad,0,no,no,yes,yes,no
28,-2,48,2,1.75,Professional,89,no,no,yes,no,no
39,13,21,3,0.2,Graduate,0,no,no,no,no,no
54,28,53,4,2.8,Graduate,0,yes,no,no,no,no
50,24,29,3,0.9,Professional,0,no,no,no,no,no
30,4,60,4,2.2,Graduate,0,no,no,yes,no,no
64,39,42,3,0.5,Graduate,116,no,no,yes,no,no
29,3,69,3,0.3,Professional,0,no,no,no,no,no
48,24,20,1,1,Undergrad,0,no,no,yes,yes,no
35,10,200,2,3,Undergrad,458,no,no,no,no,no
60,36,141,2,2.1,Undergrad,0,no,no,yes,yes,no
55,30,81,2,3.7,Undergrad,0,yes,no,no,no,no
29,4,183,3,8.3,Professional,0,no,no,yes,no,yes
